observation_id,field_id,obstime,seeing,limmag,exposure_time,filter,processed_fraction
84434604,1,2459733.5057000000,1.5741500000,20.4070500000,30,ztfr,1.00000
84434651,1,2459733.5060000000,1.5812000000,20.4940500000,30,ztfr,1.00000
84434696,1,2459733.5064000000,1.6499500000,20.5603000000,30,ztfr,1.00000
84434741,1,2459733.5068000000,1.5494500000,20.5740000000,30,ztfr,1.00000
84434788,1,2459733.5072000000,1.6287000000,20.6038500000,30,ztfr,1.00000
84434834,1,2459733.5076000000,1.5680000000,20.6258000000,30,ztfr,1.00000
84434879,1,2459733.5080000000,1.6299000000,20.5596500000,30,ztfr,0.96875
84434925,1,2459733.5084000000,1.4790500000,20.5350500000,30,ztfr,1.00000
84434969,1,2459733.5088000000,1.6119500000,20.4793500000,30,ztfr,1.00000
84435016,1,2459733.5092000000,1.5719000000,20.5783000000,30,ztfr,1.00000
